ImageNumber,ObjectNumber,AreaShape_Area,AreaShape_BoundingBoxArea,AreaShape_BoundingBoxMaximum_X,AreaShape_BoundingBoxMaximum_Y,AreaShape_BoundingBoxMinimum_X,AreaShape_BoundingBoxMinimum_Y,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_CentralMoment_0_0,AreaShape_CentralMoment_0_1,AreaShape_CentralMoment_0_2,AreaShape_CentralMoment_0_3,AreaShape_CentralMoment_1_0,AreaShape_CentralMoment_1_1,AreaShape_CentralMoment_1_2,AreaShape_CentralMoment_1_3,AreaShape_CentralMoment_2_0,AreaShape_CentralMoment_2_1,AreaShape_CentralMoment_2_2,AreaShape_CentralMoment_2_3,AreaShape_Compactness,AreaShape_ConvexArea,AreaShape_Eccentricity,AreaShape_EquivalentDiameter,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_HuMoment_0,AreaShape_HuMoment_1,AreaShape_HuMoment_2,AreaShape_HuMoment_3,AreaShape_HuMoment_4,AreaShape_HuMoment_5,AreaShape_HuMoment_6,AreaShape_InertiaTensorEigenvalues_0,AreaShape_InertiaTensorEigenvalues_1,AreaShape_InertiaTensor_0_0,AreaShape_InertiaTensor_0_1,AreaShape_InertiaTensor_1_0,AreaShape_InertiaTensor_1_1,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_NormalizedMoment_0_0,AreaShape_NormalizedMoment_0_1,AreaShape_NormalizedMoment_0_2,AreaShape_NormalizedMoment_0_3,AreaShape_NormalizedMoment_1_0,AreaShape_NormalizedMoment_1_1,AreaShape_NormalizedMoment_1_2,AreaShape_NormalizedMoment_1_3,AreaShape_NormalizedMoment_2_0,AreaShape_NormalizedMoment_2_1,AreaShape_NormalizedMoment_2_2,AreaShape_NormalizedMoment_2_3,AreaShape_NormalizedMoment_3_0,AreaShape_NormalizedMoment_3_1,AreaShape_NormalizedMoment_3_2,AreaShape_NormalizedMoment_3_3,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,AreaShape_SpatialMoment_0_0,AreaShape_SpatialMoment_0_1,AreaShape_SpatialMoment_0_2,AreaShape_SpatialMoment_0_3,AreaShape_SpatialMoment_1_0,AreaShape_SpatialMoment_1_1,AreaShape_SpatialMoment_1_2,AreaShape_SpatialMoment_1_3,AreaShape_SpatialMoment_2_0,AreaShape_SpatialMoment_2_1,AreaShape_SpatialMoment_2_2,AreaShape_SpatialMoment_2_3,AreaShape_Zernike_0_0,AreaShape_Zernike_1_1,AreaShape_Zernike_2_0,AreaShape_Zernike_2_2,AreaShape_Zernike_3_1,AreaShape_Zernike_3_3,AreaShape_Zernike_4_0,AreaShape_Zernike_4_2,AreaShape_Zernike_4_4,AreaShape_Zernike_5_1,AreaShape_Zernike_5_3,AreaShape_Zernike_5_5,AreaShape_Zernike_6_0,AreaShape_Zernike_6_2,AreaShape_Zernike_6_4,AreaShape_Zernike_6_6,AreaShape_Zernike_7_1,AreaShape_Zernike_7_3,AreaShape_Zernike_7_5,AreaShape_Zernike_7_7,AreaShape_Zernike_8_0,AreaShape_Zernike_8_2,AreaShape_Zernike_8_4,AreaShape_Zernike_8_6,AreaShape_Zernike_8_8,AreaShape_Zernike_9_1,AreaShape_Zernike_9_3,AreaShape_Zernike_9_5,AreaShape_Zernike_9_7,AreaShape_Zernike_9_9,Location_Center_X,Location_Center_Y,Location_Center_Z,Neighbors_AngleBetweenNeighbors_HOMER1_Postsynaptic_Marker_Expanded,Neighbors_FirstClosestDistance_HOMER1_Postsynaptic_Marker_Expanded,Neighbors_FirstClosestObjectNumber_HOMER1_Postsynaptic_Marker_Expanded,Neighbors_NumberOfNeighbors_HOMER1_Postsynaptic_Marker_Expanded,Neighbors_PercentTouching_HOMER1_Postsynaptic_Marker_Expanded,Neighbors_SecondClosestDistance_HOMER1_Postsynaptic_Marker_Expanded,Neighbors_SecondClosestObjectNumber_HOMER1_Postsynaptic_Marker_Expanded,Number_Object_Number
1,1,13,18,117,3,111,0,113.6923077,0.692307692,13,-2.66E-15,28.76923077,-1.065088757,2.22E-16,0.769230769,-8.295857988,9.508420574,6.769230769,-1.065088757,10.46700046,-4.489338609,0.745475685,14,0.875133285,4.068428945,1,0.722222222,1.341425375,0.210286755,0.017029056,0.002051214,9.88E-05,-1.79E-08,-9.08E-06,4.07E-08,2.215084165,0.518643645,2.213017751,-0.059171598,-0.059171598,0.520710059,5.953263529,5.099019514,1.414213562,1.063725163,1,2,2.880676713,nan,nan,0.170232135,-0.001747944,nan,0.004551661,-0.013614539,0.004327911,0.04005462,-0.001747944,0.004764224,-0.000566736,0.004311594,-0.000196817,-0.000541798,0.000103655,87.99990712,11.03553391,0.928571429,13,35,123,485,9,25,81,295,13,35,107,365,0.489707517,0.057623727,0.233552816,0.030135847,0.048758539,0.013297783,0.011011175,0.0440447,0.011011175,0.007842282,0.027618473,0.000340969,0.044624235,0.015870357,0.027505648,0.001961505,0.037690167,0.020851554,0.00112782,0.002176955,0.041990606,0.022015491,0.022533301,0.007695134,0.005414714,0.010683017,0.0041461,0.001632212,0.009880025,0.001289225,113.6923077,0.692307692,0,11.67592476,3.872147408,7,1,16.27906977,8.027581574,11,1
1,2,5,6,220,2,217,0,217.8,0.4,5,-2.22E-16,2.8,0.72,-1.11E-16,-0.6,-0.44,-0.792,1.2,-0.12,0.584,0.0144,0.431532092,5,0.816496581,2.523132522,1,0.833333333,2.317324754,0.16,0.0064,0.001152,0.000128,4.92E-08,1.02E-05,-3.31E-23,0.6,0.2,0.56,0.12,0.12,0.24,3.098386677,2.236067977,1,1,1,1,1.788854382,nan,nan,0.112,0.012879752,nan,-0.024,-0.007870959,-0.006336,0.048,-0.002146625,0.004672,5.15E-05,0.004293251,-0.001344,4.01E-05,-0.00029952,-71.56505118,5.207106781,1,5,4,6,10,2,1,1,1,2,1,1,1,1.273239545,0.254647909,0.458366236,0.410607415,0.254647909,0.254647909,0.78431556,0.712213373,0.311795542,0.254647909,0.254647909,0.254647909,0.947290221,0.280991016,0.380299068,0.724690547,0.254647909,0.254647909,0.254647909,0.254647909,0.556151033,0.668614474,0.250936329,0.69882228,0.657746761,0.254647909,0.254647909,0.254647909,0.254647909,0.254647909,217.8,0.4,0,57.21428692,11.6428328,15,1,6.578947368,20.40052083,33,2
1,3,3,4,260,2,258,0,258.3333333,0.333333333,3,1.11E-16,0.666666667,0.222222222,1.11E-16,-0.333333333,-0.111111111,-0.111111111,0.666666667,-0.111111111,0.111111111,0.012345679,0.309207662,3,0.816496581,1.954410048,1,0.75,3.234072507,0.148148148,0.005486968,0.002540263,0.000101611,-5.16E-08,-7.53E-06,1.99E-23,0.333333333,0.111111111,0.222222222,0.111111111,0.111111111,0.222222222,2.309401077,1.414213562,1,1,1,0.707106781,1.333333333,nan,nan,0.074074074,0.014255562,nan,-0.037037037,-0.007127781,-0.004115226,0.074074074,-0.007127781,0.004115226,0.000263992,0.014255562,-0.004115226,0.000263992,-0.000254026,45,3.414213562,1,3,1,1,1,1,0,0,0,1,0,0,0,1.909859317,0.636619772,1.909859317,0.636619772,0.636619772,0.636619772,1.909859317,0.636619772,1.909859317,0.636619772,0.636619772,0.636619772,1.909859317,0.636619772,1.909859317,0.636619772,0.636619772,0.636619772,0.636619772,0.636619772,1.909859317,0.636619772,1.909859317,0.636619772,1.909859317,0.636619772,0.636619772,0.636619772,0.636619772,0.636619772,258.3333333,0.333333333,0,56.61148642,1,1,1,6.666666667,17.5657495,25,3
1,4,4,4,291,2,289,0,289.5,0.5,4,0,1,0,0,0,0,0,1,0,0.25,0,0.318309886,4,0,2.256758334,1,1,3.141592654,0.125,0,0,0,0,0,0,0.25,0.25,0.25,0,0,0.25,2,1.414213562,1,1,1,1,2,nan,nan,0.0625,0,nan,0,0,0,0.0625,0,0.00390625,0,0,0,0,0,45,4,1,4,2,2,2,2,1,1,1,2,1,1,1,2.546479089,0,2.546479089,0,0,0,2.546479089,0,2.546479089,0,0,0,2.546479089,0,2.546479089,0,0,0,0,0,2.546479089,0,2.546479089,0,2.546479089,0,0,0,0,0,289.5,0.5,0,70.58648318,21.18240884,35,0,0,25.93260496,25,4
1,5,2,2,306,1,304,0,304.5,0,2,0,0.5,0,0,0,0,0,0,0,0,0,0,2,1,1.595769122,1,1,inf,0.125,0.015625,0,0,0,0,0,0.25,0,0.25,0,0,0,2,1,1,1,1,0,0,nan,nan,0.125,0,nan,0,0,0,0,0,0,0,0,0,0,0,90,0,1,2,1,1,1,0,0,0,0,0,0,0,0,2.546479089,0,2.546479089,2.546479089,0,0,2.546479089,2.546479089,2.546479089,0,0,0,2.546479089,2.546479089,2.546479089,2.546479089,0,0,0,0,2.546479089,2.546479089,2.546479089,2.546479089,2.546479089,0,0,0,0,0,304.5,0,0,99.04714267,23.11805451,35,0,0,34.96629771,16,5
1,6,2,2,356,1,354,0,354.5,0,2,0,0.5,0,0,0,0,0,0,0,0,0,0,2,1,1.595769122,1,1,inf,0.125,0.015625,0,0,0,0,0,0.25,0,0.25,0,0,0,2,1,1,1,1,0,0,nan,nan,0.125,0,nan,0,0,0,0,0,0,0,0,0,0,0,90,0,1,2,1,1,1,0,0,0,0,0,0,0,0,2.546479089,0,2.546479089,2.546479089,0,0,2.546479089,2.546479089,2.546479089,0,0,0,2.546479089,2.546479089,2.546479089,2.546479089,0,0,0,0,2.546479089,2.546479089,2.546479089,2.546479089,2.546479089,0,0,0,0,0,354.5,0,0,10.10929849,0.5,3,1,9.677419355,14.55937185,2,6
1,7,1,1,361,1,360,0,360,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.128379167,1,1,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,nan,nan,0,0,nan,0,0,0,0,0,0,0,0,0,0,0,45,0,1,1,0,0,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,360,0,0,105.7086378,6,3,0,0,16.62077014,27,7
1,8,6,8,572,2,568,0,569.5,0.333333333,6,0,5.5,0,2.22E-16,2.78E-17,-1.333333333,6.25E-17,1.333333333,2.78E-17,0.777777778,-2.08E-17,0.545664521,6,0.87038828,2.763953196,1,0.75,1.832627853,0.189814815,0.013395919,0.002540263,0.000101611,-5.16E-08,-1.18E-05,-5.80E-24,0.916666667,0.222222222,0.916666667,-4.63E-18,-4.63E-18,0.222222222,3.829708431,3,1,1,1,1,1.885618083,nan,nan,0.152777778,0,nan,7.71E-19,-0.015120307,2.89E-19,0.037037037,3.15E-19,0.003600823,-3.93E-20,0.005040102,-1.61E-20,-7.00E-05,2.01E-21,90,6.414213562,1,6,9,19,45,2,3,5,9,2,3,5,9,0.848826363,0.188628081,0.09431404,0.220066094,0.062876027,0.020958676,0.261983445,0.275955896,0.261983445,0.109450862,0.025616159,0.044246093,0.234038545,0.452940268,0.30855828,0.328740709,0.02820365,0.003881236,0.093408419,0.035966122,0.293378334,0.090001556,0.312698265,0.164521291,0.260258452,0.089268433,0.018543684,0.044246093,0.107898367,0.010321213,569.5,0.333333333,0,49.12619634,20.78052566,5,0,0,31.71373695,40,8
1,9,3,3,904,1,901,0,902,0,3,0,2,0,0,0,0,0,0,0,0,0,0.026525824,3,1,1.954410048,1,1,37.69911184,0.222222222,0.049382716,0,0,0,0,0,0.666666667,0,0.666666667,0,0,0,3.265986324,2,1,1,1,0,0,nan,nan,0.222222222,0,nan,0,0,0,0,0,0,0,0,0,0,0,90,1,1,3,3,5,9,0,0,0,0,0,0,0,0,0.954929659,0,0.318309886,0.636619772,0,0,0.954929659,0.636619772,0.636619772,0,0,0,0.318309886,0.636619772,0.636619772,0.636619772,0,0,0,0,0.954929659,0.636619772,0.636619772,0.636619772,0.636619772,0,0,0,0,0,902,0,0,169.2157021,2,4,1,4.615384615,13.60390075,8,9
1,10,31,42,345,6,338,0,340.7096774,2.064516129,31,4.44E-15,92.38709677,0.224765869,1.78E-15,9.580645161,-9.566077003,75.47148468,65.87096774,2.925078044,160.7030647,-4.949322214,0.933637878,34,0.585330925,6.282549314,1,0.738095238,1.07107908,0.164680608,0.001158891,4.77E-05,5.35E-07,2.69E-12,-5.84E-09,-2.76E-13,3.080207987,2.024890869,2.980228928,-0.30905307,-0.30905307,2.124869927,7.020208529,6.708203932,3,1.461520509,1,5,5.691946407,nan,nan,0.096136417,4.20E-05,nan,0.009969454,-0.001787844,0.002533365,0.068544191,0.00054668,0.005394349,-2.98E-05,0.001353573,0.001078201,-0.000462087,0.000211648,72.07354019,19.07106781,0.911764706,31,84,320,1368,64,183,703,3033,198,579,2199,9369,0.846905942,0.127883941,0.075876641,0.042675045,0.060043367,0.037818538,0.01649678,0.013820244,0.012285619,0.032126996,0.041186309,0.042545658,0.061979488,0.024522133,0.037943713,0.047846694,0.056333522,0.025713394,0.054666835,0.027420042,0.052799889,0.028759742,0.036486494,0.057612782,0.007249473,0.069090485,0.041353764,0.084753961,0.037022825,0.018470659,340.7096774,2.064516129,0,28.86409261,0.73210682,2,1,33.87096774,7.805782833,16,10
